[ERROR][signature.go:51]2022/03/25 11:51:36 [checkSign: 5346234353452324143123 ]
[ERROR][signature.go:51]2022/03/25 11:53:01 [checkSign: 5346234353452324143123 newSign ]
[ERROR][signature.go:51]2022/03/25 11:54:19 [checkSign: 5346234353452324143123 newSign ]
[ERROR][signature.go:53]2022/03/25 11:55:15 [checkSign: 5346234353452324143123 newSign ]
[ERROR][signature.go:53]2022/03/25 11:55:29 [checkSign: 5346234353452324143123 newSign ]
[ERROR][signature.go:54]2022/03/25 11:58:25 [checkSign: 5346234353452324143123 newSign ]
[ERROR][signature.go:54]2022/03/25 13:48:33 [checkSign: 5346234353452324143123 newSign ]
[ERROR][signature.go:48]2022/03/25 14:42:17 [checkSign: 4d2ec58b1b934a449694599d0e2bb072 newSign 52c5dc671a0f8c3ae680f6535cba55e8]
[ERROR][signature.go:48]2022/03/25 14:42:21 [checkSign: 4d2ec58b1b934a449694599d0e2bb071 newSign 52c5dc671a0f8c3ae680f6535cba55e8]
[ERROR][signature.go:45]2022/03/25 14:45:16 [checkSign: 4d2ec58b1b934a449694599d0e2bb071 newSign 52c5dc671a0f8c3ae680f6535cba55e8]
[ERROR][signature.go:45]2022/03/25 14:48:18 [checkSign: 4d2ec58b1b934a449694599d0e2bb071 newSign 3cf6e35bd229fc2d25491c541656dd5c]
[ERROR][signature.go:45]2022/03/25 14:48:40 [checkSign: 4d2ec58b1b934a449694599d0e2bb071 newSign 3cf6e35bd229fc2d25491c541656dd5c]
[ERROR][signature.go:45]2022/03/25 14:48:46 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 3cf6e35bd229fc2d25491c541656dd5c]
[ERROR][signature.go:45]2022/03/25 14:48:53 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 3cf6e35bd229fc2d25491c541656dd5c]
[ERROR][signature.go:40]2022/03/25 14:51:19 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 5187e0510f4577f058592fc5b7dfdd0b]
[ERROR][signature.go:40]2022/03/25 14:52:43 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 5187e0510f4577f058592fc5b7dfdd0b]
[ERROR][signature.go:40]2022/03/25 14:52:48 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 5a5d2ee65734c6aff9f0424f25004c88]
[ERROR][signature.go:40]2022/03/25 14:52:54 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 5187e0510f4577f058592fc5b7dfdd0b]
[INFO][signature.go:44]2022/03/25 15:02:33 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 5187e0510f4577f058592fc5b7dfdd0b]
[INFO][signature.go:43]2022/03/25 15:03:04 [checkSign: 5187e0510f4577f058592fc5b7dfdd0b newSign 5187e0510f4577f058592fc5b7dfdd0b]
